Track Name,Artist,Artist URI,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity
Sweet Child O' Mine,Guns N' Roses,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,78,"glam metal, hard rock, rock",356400,1987-07-21,0
My Band,D12,spotify:artist:5Qi4Bb7a8C0a00NZcA77L0,63,"detroit hip hop, gangster rap, hip hop",298773,2004-01-01,74
You're Gonna Say Yeah,Hushpuppies,spotify:artist:115KcJpRFQWDqnZkqruT1k,24,"french garage rock, french rock, rock independant francais",191213,2005-01-01,43
Children Of Divorce,Jonny Craig,spotify:artist:46MmlFKM8ivDsUnGOejvSM,43,screamo,238906,2009-08-18,0
Sunshine (feat. Lea),Lil' Flip,spotify:artist:4Q5sPmM8j4SpMqL4UA1DtS,53,"crunk, dirty south rap",225173,2004-03-30,64
Animal,Miike Snow,spotify:artist:4l1cKWYW591xnwEGxpUg3J,52,"alternative dance, electropop, indietronica, neo-synthpop, shimmer pop, swedish electropop, swedish indie pop, swedish synthpop",263426,2009-01-01,60
Uptown Funk (feat. Bruno Mars),Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,73,pop soul,269666,2015-01-12,85
Kryptonite,3 Doors Down,spotify:artist:2RTUTCvo6onsAnheUk3aL9,69,"alternative metal, nu metal, post-grunge, rock",233933,2000,83
Inside Out,Eve 6,spotify:artist:4Eqd24yS5YcxI8b6Xfuwr8,50,"alternative metal, pop rock, post-grunge",219466,1998,68
Choices (Yup),E-40,spotify:artist:3crnzLy8R4lVwaigKEOz7V,65,"cali rap, hyphy, oakland hip hop, west coast rap",272720,2014-12-09,54
The Seduction,He Is Legend,spotify:artist:53cAPynhUIC5WFgPPfbp2r,37,"post-hardcore, screamo",230400,2004-01-01,41
Too Close,Alex Clare,spotify:artist:5Tf4EH8tDvznnjULcFxkIl,50,modern alternative rock,256560,2011,59
Sultans of Swing,Dire Straits,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,74,"album rock, classic rock, mellow gold, rock",348760,1978-10-07,68
Back to the Hotel,N2DEEP,spotify:artist:7zgtJuRm0JcJpPQRjCgXT7,41,"chicano rap, west coast rap",304360,1990-01-01,33
Drive,Incubus,spotify:artist:3YcBF2ttyueytpXtEzn1Za,68,"alternative metal, alternative rock, funk metal, funk rock, nu metal, post-grunge, rock",232453,1999-10-26,81
My Friends Over You,New Found Glory,spotify:artist:4ghjRm4M2vChDfTUycx0Ce,55,"easycore, neon pop punk, pop punk",220200,2002-01-01,0
